importance_level,latency_sensitivity,energy_required_kwh,deadline_hours,cost_sensitivity,data_size_gb,num_vcpus,memory_gb,carbon_budget_strict,current_carbon_intensity,current_latency_ms,current_spot_cost,current_renewable_share,jt_batch_ml_training,jt_ci_cd_build,jt_data_archival,jt_etl_pipeline,jt_fraud_detection,jt_real_time_inference,jt_scientific_compute,jt_video_transcoding,jt_web_serving,cur_region_enc,urgency,green_pressure,carbon_load,cost_pressure,lat_x_imp,deadline_urg,energy_per_vcpu,renew_x_green,perf_vs_green,imp_sq,cost_x_imp,dl_lat,label,recommended_region
6,0.5713,154.22,19,0.3764,23.22,2,4,0,92.6,39.8,0.0555,0.677,0,0,0,0,0,0,0,1,0,1.0,2.0028485356047385,0.09526666666666667,14.280771999999999,0.7528,3.4278000000000004,0.81,77.10996144501927,0.677,0.28565,36,2.2584,10.854700000000001,4,sa-east-1
3,0.8451,592.94,166,0.1623,57.63,8,64,0,377.1,22.7,0.0373,0.36,0,0,0,0,0,0,1,0,0,4.0,0.5861670654143116,0.060238888888888904,223.59767400000004,1.2984,2.5353,0.0,74.11749073531367,0.36,-2.11275,9,0.4869,140.2866,6,us-west-2
10,0.8004,7.97,1,0.3399,38.4,16,128,0,349.0,20.2,0.0354,0.365,0,0,0,0,0,0,0,0,1,4.0,14.426929595229852,0.0,2.7815299999999996,5.4384,8.004,0.99,0.4981249688671894,0.365,3.6018,100,3.399,0.8004,5,us-east-1
3,0.7496,439.78,197,0.7851,61.39,32,128,0,35.9,91.1,0.0556,0.935,0,0,0,0,0,0,1,0,0,0.0,0.5672934848587836,0.09737777777777776,15.788101999999999,25.1232,2.2488,0.0,13.743124570527357,0.935,-1.874,9,2.3553,147.6712,6,us-west-2
2,0.2656,28.65,85,0.5295,5.83,32,64,0,469.2,31.9,0.0515,0.195,0,0,1,0,0,0,0,0,0,5.0,0.4489994645641368,0.32639999999999997,13.442579999999998,16.944,0.5312,0.15000000000000002,0.8953124720214852,0.195,-0.9296,4,1.059,22.576,3,eu-north-1
3,0.1909,434.0,90,0.4162,29.9,64,512,0,112.3,42.6,0.0469,0.667,1,0,0,0,0,0,0,0,0,1.0,0.6650615765364266,0.31465000000000004,48.7382,26.6368,0.5727,0.09999999999999998,6.781249894042971,0.667,-0.47724999999999995,9,1.2486000000000002,17.180999999999997,6,us-west-2
5,0.5914,168.31,14,0.4109,62.03,64,256,0,186.1,90.4,0.0718,0.702,0,0,0,1,0,0,0,0,0,2.0,1.8463461835451775,0.11349999999999999,31.322491,26.2976,2.9570000000000003,0.86,2.6298437089086923,0.702,-0.2957,25,2.0545,8.2796,4,sa-east-1
10,0.7124,7.5,3,0.253,54.07,2,16,0,416.2,23.3,0.0547,0.205,0,0,0,0,0,1,0,0,0,5.0,7.213470001026119,0.0,3.1215,0.506,7.1240000000000006,0.97,3.7499981250009373,0.205,3.2058,100,2.5300000000000002,2.1372,5,us-east-1
5,0.8194,173.07,10,0.6675,10.81,8,64,0,114.9,33.8,0.0513,0.775,0,0,0,0,0,0,0,1,0,1.0,2.0851610875415165,0.050166666666666665,19.885742999999998,5.34,4.097,0.9,21.63374729578159,0.775,-0.4097,25,3.3375,8.194,4,sa-east-1
10,0.1563,4.67,1,0.3593,3.33,4,32,0,492.9,65.7,0.0325,0.178,0,0,0,0,1,0,0,0,0,6.0,14.426929595229852,0.0,2.301843,1.4372,1.563,0.99,1.1674997081250729,0.178,0.7033499999999999,100,3.593,0.1563,5,us-east-1
2,0.7242,176.03,21,0.5471,12.11,16,64,1,378.3,23.2,0.055,0.199,0,0,0,1,0,0,0,0,0,5.0,0.6470306969729158,0.2451555555555556,66.592149,8.7536,1.4484,0.79,11.001874312382855,0.398,-2.5347,4,1.0942,15.2082,3,eu-north-1
1,0.3516,636.44,120,0.1331,17.33,16,64,0,245.9,63.1,0.053,0.516,0,0,0,0,0,0,1,0,0,3.0,0.20851615223312833,0.3242,156.50059600000003,2.1296,0.3516,0.0,39.777497513906404,0.516,-1.5822,1,0.1331,42.192,3,eu-north-1
3,0.7133,253.95,53,0.2778,3.43,4,32,1,175.1,95.6,0.0588,0.734,1,0,0,0,0,0,0,0,0,2.0,0.7520710067800103,0.22298888888888888,44.466645,1.1112,2.1399,0.47,63.48748412812896,1.468,-1.7832500000000002,9,0.8333999999999999,37.8049,5,us-east-1
2,0.2994,834.64,95,0.2444,23.95,8,16,1,106.7,55.6,0.0566,0.698,0,0,0,0,0,0,1,0,0,1.0,0.43817856962797924,0.6227555555555555,89.056088,1.9552,0.5988,0.050000000000000044,104.32998695875163,1.396,-1.0479,4,0.4888,28.443,3,eu-north-1
8,0.7877,8.65,2,0.1463,116.95,4,32,0,323.4,16.9,0.0358,0.367,0,0,0,0,0,1,0,0,0,4.0,7.281907184737135,0.023588888888888895,2.7974099999999997,0.5852,6.3016,0.98,2.162499459375135,0.367,1.96925,64,1.1704,1.5754,1,ap-southeast-1
8,0.4525,5.76,1,0.8656,64.32,2,16,0,557.3,47.2,0.0341,0.173,0,0,0,0,0,0,0,0,1,6.0,11.541543676183881,0.06083333333333333,3.2100479999999996,1.7312,3.62,0.99,2.8799985600007196,0.173,1.13125,64,6.9248,0.4525,5,us-east-1
4,0.5326,77.55,157,0.1069,15.5,16,32,1,155.5,71.0,0.0673,0.704,0,0,1,0,0,0,0,0,0,2.0,0.7901084688379467,0.31160000000000004,12.059025,1.7104,2.1304,0.0,4.846874697070331,1.408,-0.7988999999999999,16,0.4276,83.61819999999999,3,eu-north-1
10,0.6352,13.62,1,0.2017,86.23,4,16,1,166.5,92.7,0.0641,0.667,0,0,0,0,1,0,0,0,0,2.0,14.426929595229852,0.0,2.26773,0.8068,6.352,0.99,3.4049991487502127,1.334,2.8584,100,2.017,0.6352,0,ap-south-1
10,0.582,4.54,2,0.6159,45.89,4,16,1,191.6,88.4,0.0674,0.645,0,0,0,0,1,0,0,0,0,2.0,9.102383980921418,0.0,0.8698640000000001,2.4636,5.819999999999999,0.98,1.134999716250071,1.29,2.6189999999999998,100,6.159,1.164,1,ap-southeast-1
1,0.6358,665.38,32,0.4119,25.13,16,128,1,486.7,38.8,0.0615,0.237,0,0,0,0,0,0,1,0,0,5.0,0.2859995857068879,0.36419999999999997,323.840446,6.5904,0.6358,0.6799999999999999,41.586247400859534,0.474,-2.8611,1,0.4119,20.3456,3,eu-north-1
6,0.4122,5.2,1,0.155,2.0,64,512,0,42.1,88.6,0.0489,0.945,0,0,0,0,0,0,0,0,1,0.0,8.656157757137912,0.13062222222222222,0.21892,9.92,2.4732000000000003,0.99,0.08124999873046877,0.945,0.2061,36,0.9299999999999999,0.4122,5,us-east-1
7,0.4566,6.45,2,0.252,32.34,64,512,0,173.6,70.3,0.0566,0.652,0,0,0,0,0,1,0,0,0,2.0,6.371668786644993,0.09056666666666666,1.11972,16.128,3.1962,0.98,0.100781248425293,0.652,0.6849000000000001,49,1.764,0.9132,5,us-east-1
2,0.4515,119.25,18,0.5246,57.59,8,16,0,178.5,80.9,0.0537,0.718,0,0,0,1,0,0,0,0,0,2.0,0.6792463131023619,0.24377777777777776,21.286125,4.1968,0.903,0.8200000000000001,14.906248136718984,0.718,-1.58025,4,1.0492,8.127,3,eu-north-1
2,0.5317,28.13,249,0.4129,61.88,32,128,0,39.2,65.7,0.0574,0.973,0,0,1,0,0,0,0,0,0,0.0,0.3622229093946814,0.20813333333333336,1.1026960000000001,13.2128,1.0634,0.0,0.8790624725292978,0.973,-1.8609499999999999,4,0.8258,132.39329999999998,3,eu-north-1
4,0.336,762.3,54,0.6507,33.3,8,16,0,544.6,44.3,0.0377,0.162,0,0,0,0,0,0,1,0,0,6.0,0.998169809431043,0.2213333333333333,415.14858000000004,5.2056,1.344,0.45999999999999996,95.287488089064,0.162,-0.504,16,2.6028,18.144000000000002,6,us-west-2
2,0.7458,266.59,8,0.158,48.94,8,32,0,343.7,23.9,0.0361,0.354,0,0,0,0,0,0,0,1,0,4.0,0.9102388123593009,0.11297777777777777,91.626983,1.264,1.4916,0.92,33.32374583453177,0.354,-2.6103,4,0.316,5.9664,3,eu-north-1
3,0.2341,113.55,67,0.085,7.57,32,64,0,43.4,75.0,0.048,0.913,1,0,0,0,0,0,0,0,0,0.0,0.7109832470116425,0.29785,4.92807,2.72,0.7023,0.32999999999999996,3.548437389111332,0.913,-0.58525,9,0.255,15.6847,6,us-west-2
9,0.7768,3.07,3,0.7704,8.97,64,256,1,232.1,57.2,0.0596,0.534,0,0,0,0,0,1,0,0,0,3.0,6.492123000923507,0.024799999999999996,0.7125469999999999,49.3056,6.9912,0.97,0.047968749250488295,1.068,2.7188000000000003,81,6.9336,2.3304,1,ap-southeast-1
9,0.5207,7.3,2,0.5616,5.08,8,16,1,600.4,50.5,0.0378,0.171,0,0,0,0,1,0,0,0,0,6.0,8.192145582829276,0.05325555555555555,4.38292,4.4928,4.6863,0.98,0.9124998859375143,0.342,1.8224500000000001,81,5.0544,1.0414,5,us-east-1
10,0.6769,12.95,2,0.3112,53.43,16,128,0,151.5,105.6,0.055,0.627,0,0,0,0,1,0,0,0,0,2.0,9.102383980921418,0.0,1.961925,4.9792,6.768999999999999,0.98,0.8093749494140655,0.627,3.0460499999999997,100,3.1119999999999997,1.3538,1,ap-southeast-1
4,0.7042,346.52,72,0.2737,40.96,32,64,0,92.8,41.3,0.0429,0.743,0,0,0,0,0,0,1,0,0,1.0,0.9323008695377585,0.09859999999999998,32.157056,8.7584,2.8168,0.28,10.828749661601574,0.743,-1.0563,16,1.0948,50.702400000000004,6,us-west-2
7,0.6624,57.78,13,0.357,112.24,32,128,0,121.3,35.8,0.0514,0.777,0,0,0,1,0,0,0,0,0,1.0,2.6524612667505956,0.05626666666666666,7.008714,11.424,4.6368,0.87,1.8056249435742207,0.777,0.9936,49,2.4989999999999997,8.6112,1,ap-southeast-1
8,0.6488,9.11,1,0.7924,109.94,2,8,0,313.9,16.9,0.0458,0.355,0,0,0,0,1,0,0,0,0,4.0,11.541543676183881,0.039022222222222215,2.8596289999999995,1.5848,5.1904,0.99,4.554997722501138,0.355,1.622,64,6.3392,0.6488,1,ap-southeast-1
7,0.1689,10.28,2,0.3495,1.03,64,128,0,162.1,93.1,0.0715,0.668,0,0,0,0,0,1,0,0,0,2.0,6.371668786644993,0.13851666666666665,1.666388,22.368,1.1823,0.98,0.1606249974902344,0.668,0.25334999999999996,49,2.4465,0.3378,5,us-east-1
8,0.2333,21.76,2,0.3139,63.63,4,16,0,44.7,82.7,0.0522,0.95,0,0,0,0,0,1,0,0,0,0.0,7.281907184737135,0.08518888888888888,0.9726720000000001,1.2556,1.8664,0.98,5.43999864000034,0.95,0.58325,64,2.5112,0.4666,5,us-east-1
1,0.2467,737.88,57,0.7317,51.81,64,512,0,433.8,34.8,0.06,0.198,0,0,0,0,0,0,1,0,0,5.0,0.24627848516138723,0.37665,320.09234399999997,46.8288,0.2467,0.43000000000000005,11.529374819853519,0.198,-1.11015,1,0.7317,14.0619,3,eu-north-1
2,0.3347,48.7,54,0.2378,1.64,64,512,0,47.9,96.2,0.0585,0.998,0,0,1,0,0,0,0,0,0,0.0,0.4990849047155215,0.2956888888888889,2.33273,15.2192,0.6694,0.45999999999999996,0.7609374881103518,0.998,-1.17145,4,0.4756,18.0738,3,eu-north-1
9,0.0427,10.57,2,0.2113,60.81,4,8,0,429.4,51.9,0.0344,0.168,0,0,0,0,1,0,0,0,0,6.0,8.192145582829276,0.05318333333333333,4.538758,0.8452,0.38430000000000003,0.98,2.6424993393751652,0.168,0.14945,81,1.9017,0.0854,5,us-east-1
10,0.5843,7.07,2,0.3615,55.05,2,8,0,326.1,26.6,0.0368,0.345,0,0,0,0,0,1,0,0,0,4.0,9.102383980921418,0.0,2.305527,0.723,5.843,0.98,3.5349982325008837,0.345,2.62935,100,3.6149999999999998,1.1686,2,eu-central-1
9,0.7083,13.23,2,0.6915,33.0,32,256,1,478.2,24.3,0.0542,0.211,0,0,0,0,1,0,0,0,0,5.0,8.192145582829276,0.032411111111111106,6.326586,22.128,6.374700000000001,0.98,0.41343748708007855,0.422,2.47905,81,6.2235,1.4166,1,ap-southeast-1
2,0.1588,84.85,140,0.1344,79.48,64,256,1,120.7,35.8,0.0503,0.657,0,0,1,0,0,0,0,0,0,1.0,0.4041415708503076,0.7477333333333332,10.241395,8.6016,0.3176,0.0,1.3257812292846682,1.314,-0.5558,4,0.2688,22.232,3,eu-north-1
2,0.2505,62.28,155,0.0304,20.06,64,128,0,123.0,44.4,0.041,0.675,0,0,1,0,0,0,0,0,0,1.0,0.3960508182962042,0.33311111111111114,7.66044,1.9456,0.501,0.0,0.9731249847949222,0.675,-0.87675,4,0.0608,38.8275,3,eu-north-1
2,0.6571,12.82,211,0.5411,36.27,16,128,0,357.6,36.4,0.05,0.202,0,0,1,0,0,0,0,0,0,5.0,0.37337205527421585,0.15239999999999998,4.5844320000000005,8.6576,1.3142,0.0,0.8012499499218781,0.202,-2.29985,4,1.0822,138.6481,3,eu-north-1
10,0.493,11.48,2,0.4624,64.04,64,128,0,500.5,47.1,0.0308,0.16,0,0,0,0,1,0,0,0,0,6.0,9.102383980921418,0.0,5.74574,29.5936,4.93,0.98,0.17937499719726568,0.16,2.2185,100,4.624,0.986,5,us-east-1
8,0.6509,12.0,2,0.6507,5.85,64,256,0,258.9,69.9,0.0582,0.487,0,0,0,0,1,0,0,0,0,3.0,7.281907184737135,0.03878888888888889,3.1068,41.6448,5.2072,0.98,0.18749999707031256,0.487,1.62725,64,5.2056,1.3018,1,ap-southeast-1
9,0.7465,11.72,1,0.4725,56.24,2,16,1,182.3,92.7,0.0619,0.607,0,0,0,0,1,0,0,0,0,2.0,12.984236635706866,0.02816666666666666,2.136556,0.945,6.718500000000001,0.99,5.859997070001465,1.214,2.61275,81,4.2524999999999995,0.7465,1,ap-southeast-1
4,0.7868,48.02,5,0.3535,86.08,64,512,0,40.7,97.0,0.0496,0.842,0,1,0,0,0,0,0,0,0,0.0,2.232441260255799,0.07106666666666665,1.9544140000000003,22.624,3.1472,0.95,0.7503124882763674,0.842,-1.1802000000000001,16,1.414,3.934,4,sa-east-1
4,0.7178,29.57,10,0.0908,4.36,2,16,0,157.7,115.0,0.0611,0.732,0,1,0,0,0,0,0,0,0,2.0,1.6681288700332133,0.09406666666666667,4.663188999999999,0.1816,2.8712,0.9,14.784992607503696,0.732,-1.0767,16,0.3632,7.178,4,sa-east-1
3,0.0864,114.79,20,0.186,22.03,16,64,0,263.0,55.6,0.0571,0.517,0,0,0,1,0,0,0,0,0,3.0,0.9853758926038303,0.3552888888888889,30.18977,2.976,0.2592,0.8,7.17437455160159,0.517,-0.21600000000000003,9,0.558,1.7280000000000002,5,us-east-1
1,0.5601,458.01,145,0.2512,23.44,64,512,0,93.2,37.4,0.0438,0.762,0,0,0,0,0,0,1,0,0,1.0,0.2006578518830519,0.21994999999999998,42.686532,16.0768,0.5601,0.0,7.156406138181154,0.762,-2.5204500000000003,1,0.2512,81.2145,3,eu-north-1
4,0.6129,400.22,62,0.5169,40.99,2,16,0,487.4,26.5,0.0501,0.227,0,0,0,0,0,0,1,0,0,5.0,0.9654523202124984,0.12903333333333333,195.067228,1.0338,2.4516,0.38,200.10989994505002,0.227,-0.91935,16,2.0676,37.9998,6,us-west-2
6,0.1652,54.58,10,0.5783,0.53,8,16,0,473.8,67.7,0.0327,0.191,0,1,0,0,0,0,0,0,0,6.0,2.5021933050498197,0.1855111111111111,25.860004,4.6264,0.9912000000000001,0.9,6.822499147187607,0.191,0.0826,36,3.4698,1.6520000000000001,4,sa-east-1
5,0.4487,273.89,4,0.1651,23.21,64,512,0,38.0,86.6,0.0469,0.97,0,0,0,0,0,0,0,1,0,0.0,3.106672742513754,0.15313888888888888,10.40782,10.5664,2.2435,0.96,4.279531183132325,0.97,-0.22435,25,0.8255,1.7948,2,eu-central-1
4,0.2992,418.89,36,0.5741,19.68,8,16,1,386.1,24.0,0.0561,0.208,0,0,0,0,0,0,1,0,0,5.0,1.1077512668571272,0.46719999999999995,161.733429,4.5928,1.1968,0.64,52.36124345484457,0.416,-0.44880000000000003,16,2.2964,10.7712,3,eu-north-1
2,0.7194,152.25,6,0.0828,31.49,32,256,0,213.2,80.9,0.0579,0.489,0,0,0,1,0,0,0,0,0,3.0,1.0277961565567604,0.12471111111111109,32.4597,2.6496,1.4388,0.94,4.757812351318364,0.489,-2.5179,4,0.1656,4.3164,3,eu-north-1
5,0.5927,7.08,3,0.6899,21.17,32,64,0,35.9,74.5,0.0585,0.909,0,0,0,0,0,0,0,0,1,0.0,3.6067350005130594,0.1131388888888889,0.254172,22.0768,2.9635,0.97,0.22124999308593774,0.909,-0.29635,25,3.4494999999999996,1.7781,5,us-east-1
5,0.2821,372.72,38,0.5598,4.08,8,32,1,401.7,24.1,0.0366,0.371,1,0,0,0,0,0,0,0,0,4.0,1.3647917295155922,0.3988333333333334,149.72162400000002,4.4784,1.4105,0.62,46.589994176250734,0.742,-0.14105,25,2.799,10.719800000000001,3,eu-north-1
9,0.5291,28.64,1,0.0679,123.13,64,128,0,38.2,92.8,0.0565,0.986,0,0,0,0,0,1,0,0,0,0.0,12.984236635706866,0.02616111111111111,1.094048,4.3456,4.7619,0.99,0.4474999930078126,0.986,1.85185,81,0.6111,0.5291,5,us-east-1
3,0.3724,71.05,107,0.4516,13.52,2,8,0,209.1,56.5,0.0536,0.506,0,0,1,0,0,0,0,0,0,3.0,0.6407337201244762,0.24406666666666663,14.856554999999998,0.9032,1.1172,0.0,35.52498223750888,0.506,-0.931,9,1.3548,39.8468,0,ap-south-1
8,0.5603,5.85,1,0.4628,25.26,4,32,1,504.2,32.5,0.0505,0.204,0,0,0,0,1,0,0,0,0,5.0,11.541543676183881,0.09771111111111111,2.9495699999999996,1.8512,4.4824,0.99,1.4624996343750913,0.408,1.40075,64,3.7024,0.5603,1,ap-southeast-1
1,0.5761,809.6,51,0.7031,41.18,64,256,0,204.7,58.0,0.0602,0.501,0,0,0,0,0,0,1,0,0,3.0,0.253084805225382,0.21195000000000003,165.72512,44.9984,0.5761,0.49,12.649999802343753,0.501,-2.59245,1,0.7031,29.381099999999996,0,ap-south-1
10,0.6662,6.61,2,0.3363,36.05,32,256,0,100.0,53.0,0.0561,0.657,0,0,0,0,1,0,0,0,0,1.0,9.102383980921418,0.0,0.661,10.7616,6.662,0.98,0.2065624935449221,0.657,2.9979,100,3.363,1.3324,1,ap-southeast-1
6,0.4822,9.08,1,0.4119,54.84,2,8,0,103.1,52.9,0.0551,0.698,0,0,0,0,0,0,0,0,1,1.0,8.656157757137912,0.11506666666666668,0.9361479999999999,0.8238,2.8932,0.99,4.539997730001135,0.698,0.2411,36,2.4714,0.4822,5,us-east-1
9,0.738,5.88,3,0.0199,73.13,16,128,0,339.6,19.1,0.0433,0.384,0,0,0,0,0,1,0,0,0,4.0,6.492123000923507,0.014555555555555556,1.9968480000000002,0.3184,6.6419999999999995,0.97,0.3674999770312514,0.384,2.583,81,0.1791,2.214,1,ap-southeast-1
6,0.5642,139.45,20,0.1111,34.11,16,64,0,261.3,55.7,0.0641,0.557,0,0,0,1,0,0,0,0,0,3.0,1.9707517852076606,0.09684444444444444,36.43828499999999,1.7776,3.3852,0.8,8.71562445527347,0.557,0.2821,36,0.6666000000000001,11.284,4,sa-east-1
10,0.752,18.29,1,0.4098,31.17,4,8,0,421.9,60.8,0.0333,0.183,0,0,0,0,0,1,0,0,0,6.0,14.426929595229852,0.0,7.716550999999999,1.6392,7.52,0.99,4.572498856875286,0.183,3.384,100,4.098,0.752,1,ap-southeast-1
2,0.5384,139.13,17,0.6125,62.88,16,32,0,485.2,67.2,0.0322,0.167,0,0,0,1,0,0,0,0,0,6.0,0.6919522731233302,0.20515555555555556,67.50587599999999,9.8,1.0768,0.83,8.69562445652347,0.167,-1.8843999999999999,4,1.225,9.1528,3,eu-north-1
6,0.5506,15.64,2,0.3933,97.26,8,32,0,102.7,34.4,0.0496,0.758,0,0,0,0,0,0,0,0,1,1.0,5.461430388552851,0.09986666666666667,1.606228,3.1464,3.3036,0.98,1.9549997556250307,0.758,0.2753,36,2.3598,1.1012,5,us-east-1
6,0.5747,178.88,5,0.095,41.23,8,16,1,101.6,43.1,0.0487,0.647,0,0,0,1,0,0,0,0,0,1.0,3.348661890383698,0.18902222222222223,18.174208,0.76,3.4482,0.95,22.35999720500035,1.294,0.28735,36,0.5700000000000001,2.8735,3,eu-north-1
3,0.2712,102.64,4,0.7169,59.5,16,64,0,235.0,71.2,0.0495,0.536,0,0,0,0,0,0,0,1,0,3.0,1.8640036455082525,0.28342222222222224,24.1204,11.4704,0.8136,0.96,6.414999599062525,0.536,-0.6779999999999999,9,2.1507,1.0848,0,ap-south-1
2,0.5036,74.42,267,0.5071,34.2,64,128,0,242.6,62.0,0.055,0.527,0,0,1,0,0,0,0,0,0,3.0,0.35771852970738405,0.2206222222222222,18.054292,32.4544,1.0072,0.0,1.162812481831055,0.527,-1.7626000000000002,4,1.0142,134.46120000000002,3,eu-north-1
1,0.3713,204.49,130,0.1545,29.89,32,128,0,376.8,23.9,0.0539,0.21,0,0,0,0,0,0,1,0,0,5.0,0.20511986050720912,0.31435,77.051832,4.944,0.3713,0.0,6.3903123003027416,0.21,-1.6708500000000002,1,0.1545,48.269000000000005,3,eu-north-1
4,0.2539,285.07,12,0.6596,48.53,64,512,0,221.0,72.5,0.0514,0.554,0,0,0,0,0,0,0,1,0,3.0,1.5594843730070056,0.24869999999999998,63.00047,42.2144,1.0156,0.88,4.454218680402833,0.554,-0.38085,16,2.6384,3.0468,2,eu-central-1
2,0.2924,347.44,79,0.2596,24.17,64,128,0,96.1,46.7,0.0482,0.752,1,0,0,0,0,0,0,0,0,1.0,0.456409718682398,0.3144888888888889,33.388983999999994,16.6144,0.5848,0.20999999999999996,5.428749915175783,0.752,-1.0234,4,0.5192,23.0996,3,eu-north-1
4,0.3277,403.96,116,0.2533,15.63,16,64,0,374.9,17.9,0.0429,0.378,0,0,0,0,0,0,1,0,0,4.0,0.8399523442054896,0.22410000000000002,151.444604,4.0528,1.3108,0.0,25.247498422031345,0.378,-0.49155,16,1.0132,38.0132,6,us-west-2
4,0.1551,60.79,14,0.6679,12.17,8,16,0,91.5,39.6,0.0508,0.656,0,0,0,0,0,0,0,1,0,1.0,1.477076946836142,0.28163333333333335,5.562285,5.3432,0.6204,0.86,7.5987490501563695,0.656,-0.23264999999999997,16,2.6716,2.1713999999999998,4,sa-east-1
8,0.7567,4.2,2,0.1956,51.87,4,16,1,35.7,63.1,0.0485,0.948,0,0,0,0,0,0,0,0,1,0.0,7.281907184737135,0.05406666666666666,0.14994000000000002,0.7824,6.0536,0.98,1.0499997375000656,1.896,1.89175,64,1.5648,1.5134,5,us-east-1
