job_id,job_type,importance_level,latency_sensitivity,energy_required_kwh,deadline_hours,cost_sensitivity,data_size_gb,num_vcpus,memory_gb,carbon_budget_strict,current_region,current_carbon_intensity,current_latency_ms,current_spot_cost,current_renewable_share,recommended_region
158,data_archival,4,0.5874,93.19,144,0.2345,19.78,2,16,0,us-east-1,400.7,16.8,0.0376,0.351,us-west-2
159,etl_pipeline,6,0.501,71.56,12,0.0736,80.46,2,16,0,us-east-1,442.5,19.0,0.042,0.381,sa-east-1
160,ci_cd_build,4,0.3489,13.92,3,0.1371,57.88,8,64,0,us-west-2,93.7,44.3,0.0435,0.671,us-east-1
161,fraud_detection,8,0.3944,14.47,1,0.35,23.97,8,64,0,ap-south-1,540.8,46.5,0.0319,0.183,us-east-1
162,fraud_detection,9,0.4341,6.32,1,0.2182,9.45,4,32,1,us-west-2,120.4,54.3,0.0417,0.755,us-east-1
163,batch_ml_training,1,0.6496,237.74,44,0.2859,8.0,8,16,0,ap-southeast-1,372.8,25.9,0.0506,0.208,eu-north-1
164,video_transcoding,5,0.2018,121.15,19,0.4438,104.7,32,128,0,eu-north-1,43.6,107.3,0.0449,0.965,sa-east-1
165,real_time_inference,9,0.4185,3.12,2,0.0984,60.74,2,4,0,ap-south-1,423.4,59.5,0.0362,0.184,us-east-1
166,ci_cd_build,4,0.4803,12.89,6,0.1415,30.18,4,8,1,sa-east-1,152.6,105.4,0.0648,0.706,eu-north-1
167,ci_cd_build,8,0.4538,26.45,8,0.2798,39.36,64,512,1,us-west-2,110.4,45.6,0.049,0.65,us-east-1
168,web_serving,8,0.4242,5.05,1,0.5335,21.91,64,256,0,eu-north-1,46.2,82.7,0.0537,1.0,us-east-1
169,web_serving,10,0.3512,2.86,2,0.6713,12.99,64,256,1,us-west-2,122.1,59.4,0.056,0.654,us-east-1
170,etl_pipeline,3,0.2203,150.69,17,0.6232,41.46,2,4,1,us-east-1,402.4,20.1,0.0397,0.341,eu-north-1
171,scientific_compute,4,0.5579,584.27,151,0.05,10.41,8,16,0,sa-east-1,134.1,70.8,0.065,0.602,us-west-2
172,etl_pipeline,2,0.4153,189.27,23,0.2154,38.85,64,256,0,eu-north-1,42.0,100.6,0.0588,0.913,eu-north-1
173,video_transcoding,4,0.4702,285.48,6,0.1628,41.88,4,16,0,eu-central-1,189.1,68.4,0.0612,0.558,eu-central-1
174,real_time_inference,10,0.5636,13.6,3,0.0295,60.28,4,32,0,us-east-1,396.1,22.2,0.0384,0.358,ap-southeast-1
175,data_archival,2,0.4333,22.15,211,0.5202,51.11,16,64,0,us-east-1,436.7,26.1,0.0367,0.377,eu-north-1
176,data_archival,4,0.5186,95.01,186,0.6418,60.5,32,64,0,us-east-1,321.5,25.0,0.046,0.374,us-west-2
177,batch_ml_training,5,0.7805,348.27,81,0.4025,17.32,8,32,0,ap-south-1,583.0,69.7,0.0363,0.171,eu-central-1
178,batch_ml_training,2,0.215,354.9,25,0.7967,80.91,2,8,0,sa-east-1,131.6,99.7,0.0565,0.634,eu-north-1
179,batch_ml_training,5,0.3608,537.06,42,0.107,2.45,2,16,0,eu-north-1,46.5,61.0,0.0519,0.986,eu-central-1
180,scientific_compute,2,0.711,366.15,25,0.2261,52.52,8,32,0,ap-southeast-1,487.7,38.9,0.0601,0.235,eu-north-1
181,etl_pipeline,4,0.0929,172.52,18,0.7651,12.96,4,32,0,eu-central-1,251.8,64.9,0.0468,0.547,ap-south-1
182,data_archival,4,0.742,61.04,229,0.7297,25.73,64,128,0,us-east-1,386.8,25.4,0.039,0.343,us-west-2
183,video_transcoding,6,0.2505,68.23,10,0.2501,58.29,16,32,0,eu-central-1,205.8,83.4,0.0628,0.544,sa-east-1
184,scientific_compute,1,0.3316,503.21,82,0.8537,74.01,2,16,0,us-west-2,116.2,47.6,0.0488,0.736,eu-north-1
185,batch_ml_training,5,0.4834,586.14,27,0.4459,12.12,4,8,0,ap-south-1,467.9,65.8,0.0375,0.161,eu-central-1
186,data_archival,3,0.5132,75.02,149,0.2421,49.45,8,16,1,ap-southeast-1,494.7,38.4,0.0577,0.235,eu-north-1
187,ci_cd_build,4,0.5353,34.06,2,0.028,27.59,16,64,0,sa-east-1,173.4,87.2,0.0593,0.62,us-east-1
188,etl_pipeline,5,0.5458,77.18,16,0.3593,95.43,32,256,0,ap-south-1,532.4,43.3,0.0313,0.188,sa-east-1
189,etl_pipeline,5,0.6424,77.02,14,0.4017,98.42,32,64,1,ap-southeast-1,385.8,28.2,0.0523,0.197,eu-north-1
190,fraud_detection,10,0.7019,2.74,2,0.7102,113.36,64,256,0,sa-east-1,179.3,114.9,0.0644,0.642,ap-southeast-1
191,etl_pipeline,7,0.6919,155.44,4,0.7856,30.95,32,64,0,us-west-2,112.9,54.1,0.0455,0.695,ap-southeast-1
192,data_archival,2,0.3347,48.7,54,0.2378,1.64,64,512,0,eu-north-1,47.9,96.2,0.0585,0.998,eu-north-1
193,web_serving,7,0.3345,23.5,3,0.263,37.35,16,128,0,ap-southeast-1,500.8,32.8,0.0525,0.219,us-east-1
194,ci_cd_build,4,0.3722,45.69,3,0.1988,28.18,64,512,0,ap-south-1,434.6,58.1,0.0373,0.175,us-east-1
195,data_archival,2,0.4299,33.55,134,0.1914,0.85,64,256,0,eu-central-1,233.1,85.4,0.0591,0.59,eu-north-1
196,data_archival,2,0.6526,54.22,248,0.1678,21.04,32,256,0,ap-southeast-1,409.6,35.1,0.0555,0.203,eu-north-1
197,batch_ml_training,5,0.3385,372.41,25,0.4566,60.3,4,8,1,eu-north-1,42.4,104.9,0.0539,0.988,eu-north-1
198,video_transcoding,6,0.4996,56.01,12,0.5584,9.26,16,32,0,eu-north-1,36.9,75.7,0.0549,1.0,sa-east-1
199,data_archival,2,0.2072,47.24,205,0.3167,18.45,16,64,0,eu-central-1,222.9,77.3,0.051,0.562,eu-north-1
200,batch_ml_training,3,0.3681,224.4,48,0.3312,28.44,32,64,0,us-west-2,129.9,42.5,0.0449,0.715,us-west-2
201,real_time_inference,9,0.2999,13.01,2,0.7385,12.26,8,64,0,us-east-1,317.3,26.8,0.0463,0.399,us-east-1
202,web_serving,8,0.2664,17.26,1,0.1914,39.24,32,256,0,us-west-2,105.8,51.8,0.0548,0.751,us-east-1
203,scientific_compute,4,0.5969,533.48,169,0.1868,37.88,8,16,0,eu-central-1,257.6,56.8,0.0565,0.546,us-west-2
